Date,MC,Amoeba,Type,dilute,Read1,rd1_new,diulte,Read2,rd_2_new,Avg,STDEV
0,195-2 MC+,A22.3,PC,1,38808,38808,1,39757,39757,,
0,195-2 MC+,A22.3,CHLA,1,5615.6,5615.6,1,5645.8,5645.8,,
2,195-2 MC+,A22.3,PC,1,31096,31096,1,32026,32026,,
2,195-2 MC+,A22.3,CHLA,1,3882.1,3882.1,1,3934.4,3934.4,,
5,195-2 MC+,A22.3,PC,1,29983,29983,1,26252,26252,,
5,195-2 MC+,A22.3,CHLA,1,3244,3244,1,2867.1,2867.1,,
7,195-2 MC+,A22.3,PC,1,44877,44877,1,60491,60491,,
7,195-2 MC+,A22.3,CHLA,1,4375.5,4375.5,1,5363.4,5363.4,,
9,195-2 MC+,A22.3,PC,1,55004,55004,1,56189,56189,,
9,195-2 MC+,A22.3,CHLA,1,5551.3,5551.3,1,5532.2,5532.2,,
12,195-2 MC+,A22.3,PC,1,101787,101787,1,93950,93950,,
12,195-2 MC+,A22.3,CHLA,1,9639.4,9639.4,1,8997.3,8997.3,,
14,195-2 MC+,A22.3,PC,0.5,103247,206494,0.5,89171,178342,,
14,195-2 MC+,A22.3,CHLA,0.5,10204,20408,0.5,8897.8,17795.6,,
16,195-2 MC+,A22.3,PC,0.33,60346,182866.6667,0.33,79803,241827.2727,,
16,195-2 MC+,A22.3,CHLA,0.33,7209.5,21846.9697,0.33,7846.6,23777.57576,,
0,195-2 MC+,A54.2,PC,1,38612,38612,1,34448,34448,,
0,195-2 MC+,A54.2,CHLA,1,5474.9,5474.9,1,5054.9,5054.9,,
2,195-2 MC+,A54.2,PC,1,30743,30743,1,30356,30356,,
2,195-2 MC+,A54.2,CHLA,1,3833.9,3833.9,1,3743.4,3743.4,,
5,195-2 MC+,A54.2,PC,1,25728,25728,1,24530,24530,,
5,195-2 MC+,A54.2,CHLA,1,3020.9,3020.9,1,2916.3,2916.3,,
7,195-2 MC+,A54.2,PC,1,55731,55731,1,54572,54572,,
7,195-2 MC+,A54.2,CHLA,1,5595.5,5595.5,1,5338.3,5338.3,,
9,195-2 MC+,A54.2,PC,1,89865,89865,1,92805,92805,,
9,195-2 MC+,A54.2,CHLA,1,8349,8349,1,8591.3,8591.3,,
12,195-2 MC+,A54.2,PC,0.5,87364,174728,0.5,78376,156752,,
12,195-2 MC+,A54.2,CHLA,0.5,8390.3,16780.6,0.5,8093.8,16187.6,,
14,195-2 MC+,A54.2,PC,0.5,100209,200418,0.5,94356,188712,,
14,195-2 MC+,A54.2,CHLA,0.5,10323,20646,0.5,9733.9,19467.8,,
16,195-2 MC+,A54.2,PC,0.33,71247,215900,0.33,69145,209530.303,,
16,195-2 MC+,A54.2,CHLA,0.33,7572.2,22946.06061,0.33,7750.1,23485.15152,,
0,195-2 MC+,I6-1,PC,1,43594,43594,1,43391,43391,,
0,195-2 MC+,I6-1,CHLA,1,6443.7,6443.7,1,6332.1,6332.1,,
2,195-2 MC+,I6-1,PC,1,33603,33603,1,35247,35247,,
2,195-2 MC+,I6-1,CHLA,1,4326.3,4326.3,1,4451.9,4451.9,,
5,195-2 MC+,I6-1,PC,1,29400,29400,1,28412,28412,,
5,195-2 MC+,I6-1,CHLA,1,3572.6,3572.6,1,3460,3460,,
7,195-2 MC+,I6-1,PC,1,51947,51947,1,53571,53571,,
